section_id,corridor_id,corridor_name,section_name,region,section_length_km,electrified,track_type,maximum_speed_kmph
SEC-0001,COR-001,Delhi–Agra,Delhi–Agra Section 1,Northern,12.2,Yes,Quadruple Line,130
SEC-0002,COR-001,Delhi–Agra,Delhi–Agra Section 2,Northern,4.3,No,Quadruple Line,130
SEC-0003,COR-001,Delhi–Agra,Delhi–Agra Section 3,Northern,4.7,Yes,Double Line,140
SEC-0004,COR-001,Delhi–Agra,Delhi–Agra Section 4,Northern,10.7,Yes,Double Line,110
SEC-0005,COR-001,Delhi–Agra,Delhi–Agra Section 5,Northern,9.6,Yes,Quadruple Line,120
SEC-0006,COR-001,Delhi–Agra,Delhi–Agra Section 6,Northern,12.0,Yes,Single Line,130
SEC-0007,COR-001,Delhi–Agra,Delhi–Agra Section 7,Northern,12.2,Yes,Double Line,100
SEC-0008,COR-001,Delhi–Agra,Delhi–Agra Section 8,Northern,5.0,Yes,Quadruple Line,140
SEC-0009,COR-001,Delhi–Agra,Delhi–Agra Section 9,Northern,7.0,Yes,Double Line,110
SEC-0010,COR-001,Delhi–Agra,Delhi–Agra Section 10,Northern,4.7,Yes,Double Line,130
SEC-0011,COR-002,Agra–Jhansi,Agra–Jhansi Section 1,Western,8.3,Yes,Quadruple Line,110
SEC-0012,COR-002,Agra–Jhansi,Agra–Jhansi Section 2,Western,12.9,Yes,Double Line,110
SEC-0013,COR-002,Agra–Jhansi,Agra–Jhansi Section 3,Western,11.1,Yes,Double Line,100
SEC-0014,COR-002,Agra–Jhansi,Agra–Jhansi Section 4,Western,12.3,Yes,Quadruple Line,130
SEC-0015,COR-002,Agra–Jhansi,Agra–Jhansi Section 5,Western,8.5,Yes,Double Line,100
SEC-0016,COR-002,Agra–Jhansi,Agra–Jhansi Section 6,Western,11.0,Yes,Double Line,130
SEC-0017,COR-002,Agra–Jhansi,Agra–Jhansi Section 7,Western,10.6,Yes,Double Line,110
SEC-0018,COR-002,Agra–Jhansi,Agra–Jhansi Section 8,Western,3.6,Yes,Double Line,120
SEC-0019,COR-002,Agra–Jhansi,Agra–Jhansi Section 9,Western,13.1,Yes,Double Line,110
SEC-0020,COR-002,Agra–Jhansi,Agra–Jhansi Section 10,Western,6.6,Yes,Double Line,130
SEC-0021,COR-003,Delhi–Ambala,Delhi–Ambala Section 1,Central,10.9,Yes,Quadruple Line,110
SEC-0022,COR-003,Delhi–Ambala,Delhi–Ambala Section 2,Central,3.5,Yes,Quadruple Line,120
SEC-0023,COR-003,Delhi–Ambala,Delhi–Ambala Section 3,Central,5.1,Yes,Double Line,130
SEC-0024,COR-003,Delhi–Ambala,Delhi–Ambala Section 4,Central,8.4,Yes,Double Line,120
SEC-0025,COR-003,Delhi–Ambala,Delhi–Ambala Section 5,Central,7.4,Yes,Double Line,140
SEC-0026,COR-003,Delhi–Ambala,Delhi–Ambala Section 6,Central,13.7,Yes,Double Line,140
SEC-0027,COR-003,Delhi–Ambala,Delhi–Ambala Section 7,Central,12.2,Yes,Double Line,110
SEC-0028,COR-003,Delhi–Ambala,Delhi–Ambala Section 8,Central,4.3,Yes,Double Line,110
SEC-0029,COR-003,Delhi–Ambala,Delhi–Ambala Section 9,Central,6.7,Yes,Double Line,130
SEC-0030,COR-003,Delhi–Ambala,Delhi–Ambala Section 10,Central,12.0,Yes,Double Line,120
SEC-0031,COR-004,Mumbai–Surat,Mumbai–Surat Section 1,Eastern,10.0,Yes,Double Line,120
SEC-0032,COR-004,Mumbai–Surat,Mumbai–Surat Section 2,Eastern,3.7,Yes,Double Line,100
SEC-0033,COR-004,Mumbai–Surat,Mumbai–Surat Section 3,Eastern,4.4,Yes,Double Line,140
SEC-0034,COR-004,Mumbai–Surat,Mumbai–Surat Section 4,Eastern,9.9,Yes,Double Line,100
SEC-0035,COR-004,Mumbai–Surat,Mumbai–Surat Section 5,Eastern,14.3,Yes,Quadruple Line,100
SEC-0036,COR-004,Mumbai–Surat,Mumbai–Surat Section 6,Eastern,8.8,Yes,Single Line,120
SEC-0037,COR-004,Mumbai–Surat,Mumbai–Surat Section 7,Eastern,8.7,Yes,Double Line,120
SEC-0038,COR-004,Mumbai–Surat,Mumbai–Surat Section 8,Eastern,8.3,Yes,Quadruple Line,130
SEC-0039,COR-004,Mumbai–Surat,Mumbai–Surat Section 9,Eastern,4.8,Yes,Double Line,130
SEC-0040,COR-004,Mumbai–Surat,Mumbai–Surat Section 10,Eastern,6.5,Yes,Quadruple Line,130
SEC-0041,COR-005,Surat–Vadodara,Surat–Vadodara Section 1,Southern,4.4,Yes,Double Line,100
SEC-0042,COR-005,Surat–Vadodara,Surat–Vadodara Section 2,Southern,9.6,Yes,Quadruple Line,130
SEC-0043,COR-005,Surat–Vadodara,Surat–Vadodara Section 3,Southern,6.9,No,Double Line,120
SEC-0044,COR-005,Surat–Vadodara,Surat–Vadodara Section 4,Southern,6.2,Yes,Double Line,100
SEC-0045,COR-005,Surat–Vadodara,Surat–Vadodara Section 5,Southern,8.2,No,Single Line,130
SEC-0046,COR-005,Surat–Vadodara,Surat–Vadodara Section 6,Southern,13.5,Yes,Double Line,110
SEC-0047,COR-005,Surat–Vadodara,Surat–Vadodara Section 7,Southern,12.2,Yes,Double Line,100
SEC-0048,COR-005,Surat–Vadodara,Surat–Vadodara Section 8,Southern,11.9,Yes,Single Line,110
SEC-0049,COR-005,Surat–Vadodara,Surat–Vadodara Section 9,Southern,4.6,Yes,Double Line,110
SEC-0050,COR-005,Surat–Vadodara,Surat–Vadodara Section 10,Southern,10.2,Yes,Double Line,110
SEC-0051,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 1,North Central,12.2,No,Double Line,100
SEC-0052,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 2,North Central,3.4,Yes,Double Line,130
SEC-0053,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 3,North Central,4.6,Yes,Quadruple Line,120
SEC-0054,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 4,North Central,5.5,Yes,Quadruple Line,130
SEC-0055,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 5,North Central,4.7,Yes,Single Line,120
SEC-0056,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 6,North Central,6.7,Yes,Double Line,140
SEC-0057,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 7,North Central,6.5,Yes,Double Line,120
SEC-0058,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 8,North Central,10.6,Yes,Double Line,120
SEC-0059,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 9,North Central,14.4,Yes,Single Line,130
SEC-0060,COR-006,Vadodara–Ahmedabad,Vadodara–Ahmedabad Section 10,North Central,8.6,Yes,Double Line,100
SEC-0061,COR-007,Mumbai–Pune,Mumbai–Pune Section 1,South Central,12.8,Yes,Double Line,120
SEC-0062,COR-007,Mumbai–Pune,Mumbai–Pune Section 2,South Central,10.2,Yes,Double Line,120
SEC-0063,COR-007,Mumbai–Pune,Mumbai–Pune Section 3,South Central,7.5,Yes,Double Line,130
SEC-0064,COR-007,Mumbai–Pune,Mumbai–Pune Section 4,South Central,8.5,Yes,Double Line,130
SEC-0065,COR-007,Mumbai–Pune,Mumbai–Pune Section 5,South Central,12.7,Yes,Double Line,120
SEC-0066,COR-007,Mumbai–Pune,Mumbai–Pune Section 6,South Central,4.9,Yes,Double Line,100
SEC-0067,COR-007,Mumbai–Pune,Mumbai–Pune Section 7,South Central,13.9,Yes,Double Line,110
SEC-0068,COR-007,Mumbai–Pune,Mumbai–Pune Section 8,South Central,4.5,Yes,Double Line,110
